media_type;stream_index;key_frame;pkt_pts;pkt_pts_time;pkt_dts;pkt_dts_time;best_effort_timestamp;best_effort_timestamp_time;pkt_duration;pkt_duration_time;pkt_pos;pkt_size;width;height;pix_fmt;sample_aspect_ratio;pict_type;coded_picture_number;display_picture_number;interlaced_frame;top_field_first;repeat_pict;color_range;color_space;color_primaries;color_transfer;chroma_location;side_data_type
video;0;1;0;0.000000;0;0.000000;0;0.000000;1024;0.076923;48;5797;220;292;yuv420p;N/A;I;0;0;0;0;0;unknown;unknown;unknown;unknown;left;H.26[45] User Data Unregistered SEI message
video;0;0;1024;0.076923;1024;0.076923;1024;0.076923;1024;0.076923;7420;46;220;292;yuv420p;N/A;B;2;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;2048;0.153846;2048;0.153846;2048;0.153846;1024;0.076923;5845;1575;220;292;yuv420p;N/A;P;1;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;3072;0.230769;3072;0.230769;3072;0.230769;1024;0.076923;10969;1612;220;292;yuv420p;N/A;B;4;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;4096;0.307692;4096;0.307692;4096;0.307692;1024;0.076923;7466;3503;220;292;yuv420p;N/A;P;3;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;5120;0.384615;5120;0.384615;5120;0.384615;1024;0.076923;18497;38;220;292;yuv420p;N/A;B;7;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;6144;0.461538;6144;0.461538;6144;0.461538;1024;0.076923;16294;2203;220;292;yuv420p;N/A;B;6;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;7168;0.538462;7168;0.538462;7168;0.538462;1024;0.076923;18535;38;220;292;yuv420p;N/A;B;8;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;8192;0.615385;8192;0.615385;8192;0.615385;1024;0.076923;12581;3713;220;292;yuv420p;N/A;P;5;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;9216;0.692308;9216;0.692308;9216;0.692308;1024;0.076923;23339;1646;220;292;yuv420p;N/A;B;10;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;10240;0.769231;10240;0.769231;10240;0.769231;1024;0.076923;18573;4766;220;292;yuv420p;N/A;P;9;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;11264;0.846154;11264;0.846154;11264;0.846154;1024;0.076923;29541;58;220;292;yuv420p;N/A;B;13;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;12288;0.923077;12288;0.923077;12288;0.923077;1024;0.076923;28145;1396;220;292;yuv420p;N/A;B;12;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;13312;1.000.000;13312;1.000.000;13312;1.000.000;1024;0.076923;29599;65;220;292;yuv420p;N/A;B;14;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;14336;1.076.923;14336;1.076.923;14336;1.076.923;1024;0.076923;24985;3160;220;292;yuv420p;N/A;P;11;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;15360;1.153.846;15360;1.153.846;15360;1.153.846;1024;0.076923;32445;1108;220;292;yuv420p;N/A;B;16;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;16384;1.230.769;16384;1.230.769;16384;1.230.769;1024;0.076923;29664;2781;220;292;yuv420p;N/A;P;15;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;17408;1.307.692;17408;1.307.692;17408;1.307.692;1024;0.076923;36657;46;220;292;yuv420p;N/A;B;19;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;18432;1.384.615;18432;1.384.615;18432;1.384.615;1024;0.076923;35710;947;220;292;yuv420p;N/A;B;18;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;19456;1.461.538;19456;1.461.538;19456;1.461.538;1024;0.076923;36703;52;220;292;yuv420p;N/A;B;20;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;20480;1.538.462;20480;1.538.462;20480;1.538.462;1024;0.076923;33553;2157;220;292;yuv420p;N/A;P;17;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;21504;1.615.385;21504;1.615.385;21504;1.615.385;1024;0.076923;38974;44;220;292;yuv420p;N/A;B;23;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;22528;1.692.308;22528;1.692.308;22528;1.692.308;1024;0.076923;37966;1008;220;292;yuv420p;N/A;B;22;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;23552;1.769.231;23552;1.769.231;23552;1.769.231;1024;0.076923;39018;42;220;292;yuv420p;N/A;B;24;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;24576;1.846.154;24576;1.846.154;24576;1.846.154;1024;0.076923;36755;1211;220;292;yuv420p;N/A;P;21;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;25600;1.923.077;25600;1.923.077;25600;1.923.077;1024;0.076923;39906;669;220;292;yuv420p;N/A;B;26;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;26624;2.000.000;N/A;N/A;26624;2.000.000;1024;0.076923;40575;41;220;292;yuv420p;N/A;B;27;0;0;0;0;unknown;unknown;unknown;unknown;left;
video;0;0;27648;2.076.923;N/A;N/A;27648;2.076.923;1024;0.076923;39060;846;220;292;yuv420p;N/A;P;25;0;0;0;0;unknown;unknown;unknown;unknown;left;
