sep=,
media_type,stream_index,key_frame,pkt_pts,pkt_pts_time,pkt_dts,pkt_dts_time,best_effort_timestamp,best_effort_timestamp_time,pkt_duration,pkt_duration_time,pkt_pos,pkt_size,width,height,pix_fmt,sample_aspect_ratio,pict_type,coded_picture_number,display_picture_number,interlaced_frame,top_field_first,repeat_pict,color_range,color_space,color_primaries,color_transfer,chroma_location
video,0,1,0,0.000000,0,0.000000,0,0.000000,1001,0.033367,48,28060,640,360,yuv420p,N/A,I,0,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,1001,0.033367,1001,0.033367,1001,0.033367,1001,0.033367,30483,197,640,360,yuv420p,N/A,B,3,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,2002,0.066733,2002,0.066733,2002,0.066733,1001,0.033367,30118,365,640,360,yuv420p,N/A,B,2,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,3003,0.100100,3003,0.100100,3003,0.100100,1001,0.033367,30680,197,640,360,yuv420p,N/A,B,4,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,4004,0.133467,4004,0.133467,4004,0.133467,1001,0.033367,28108,2010,640,360,yuv420p,N/A,P,1,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,5005,0.166833,5005,0.166833,5005,0.166833,1001,0.033367,34665,240,640,360,yuv420p,N/A,B,7,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,6006,0.200200,6006,0.200200,6006,0.200200,1001,0.033367,34260,405,640,360,yuv420p,N/A,B,6,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,7007,0.233567,7007,0.233567,7007,0.233567,1001,0.033367,34905,200,640,360,yuv420p,N/A,B,8,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,8008,0.266933,8008,0.266933,8008,0.266933,1001,0.033367,30877,3383,640,360,yuv420p,N/A,P,5,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,9009,0.300300,9009,0.300300,9009,0.300300,1001,0.033367,38873,214,640,360,yuv420p,N/A,B,11,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,10010,0.333667,10010,0.333667,10010,0.333667,1001,0.033367,38515,358,640,360,yuv420p,N/A,B,10,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,11011,0.367033,11011,0.367033,11011,0.367033,1001,0.033367,39087,197,640,360,yuv420p,N/A,B,12,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,12012,0.400400,12012,0.400400,12012,0.400400,1001,0.033367,35105,3410,640,360,yuv420p,N/A,P,9,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,13013,0.433767,13013,0.433767,13013,0.433767,1001,0.033367,41838,318,640,360,yuv420p,N/A,B,14,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,14014,0.467133,14014,0.467133,14014,0.467133,1001,0.033367,42156,209,640,360,yuv420p,N/A,B,15,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,15015,0.500500,15015,0.500500,15015,0.500500,1001,0.033367,39284,2554,640,360,yuv420p,N/A,P,13,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,16016,0.533867,16016,0.533867,16016,0.533867,1001,0.033367,45949,295,640,360,yuv420p,N/A,B,18,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,17017,0.567233,17017,0.567233,17017,0.567233,1001,0.033367,45457,492,640,360,yuv420p,N/A,B,17,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,18018,0.600600,18018,0.600600,18018,0.600600,1001,0.033367,46244,213,640,360,yuv420p,N/A,B,19,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,19019,0.633967,19019,0.633967,19019,0.633967,1001,0.033367,42365,3092,640,360,yuv420p,N/A,P,16,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,20020,0.667333,20020,0.667333,20020,0.667333,1001,0.033367,50784,276,640,360,yuv420p,N/A,B,22,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,21021,0.700700,21021,0.700700,21021,0.700700,1001,0.033367,50295,489,640,360,yuv420p,N/A,B,21,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,22022,0.734067,22022,0.734067,22022,0.734067,1001,0.033367,51060,275,640,360,yuv420p,N/A,B,23,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,23023,0.767433,23023,0.767433,23023,0.767433,1001,0.033367,46457,3838,640,360,yuv420p,N/A,P,20,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,24024,0.800800,24024,0.800800,24024,0.800800,1001,0.033367,55489,268,640,360,yuv420p,N/A,B,26,0,0,0,0,unknown,unknown,unknown,unknown,left
